Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,Date,desempleado
RB50392,Washington,MA,Master,,0,1000,12/30/1899,Personal Auto,Four-Door Car,2.704934,10/30/1995,TRUE
QZ44356,Arizona,F,Bachelor,69795359%,0,94,12/30/1899,Personal Auto,Four-Door Car,1131.464935,12/2/1998,FALSE
AI49188,Nevada,F,Bachelor,128874317%,,108,12/30/1899,Personal Auto,Two-Door Car,566.472247,5/16/1997,TRUE
WW63253,California,M,Bachelor,76458618%,0,106,12/30/1899,Corporate Auto,SUV,529.881344,4/9/1997,FALSE
GA49547,Washington,M,High School or Below,53630765%,36357,68,12/30/1899,Personal Auto,Four-Door Car,17.269323,11/14/1995,TRUE
OC83172,Oregon,F,Bachelor,82562978%,62902,69,12/30/1899,Personal Auto,Two-Door Car,159.383042,4/4/1996,FALSE
XZ87318,Oregon,F,College,53808986%,55350,67,12/30/1899,Corporate Auto,Four-Door Car,321.6,9/13/1996,TRUE
CF85061,Arizona,M,Master,72161003%,0,101,12/30/1899,Corporate Auto,Four-Door Car,363.02968,10/25/1996,FALSE
DY87989,Oregon,M,Bachelor,241275040%,14072,71,12/30/1899,Corporate Auto,Four-Door Car,511.2,3/22/1997,TRUE
BQ94931,Oregon,F,College,73881781%,28812,93,12/30/1899,Special Auto,Four-Door Car,425.527834,12/26/1996,FALSE
SX51350,California,M,College,47389920%,0,67,12/30/1899,Personal Auto,Four-Door Car,482.4,2/21/1997,TRUE
VQ65197,California,MA,College,81971971%,0,110,12/30/1899,Personal Auto,SUV,528,4/8/1997,FALSE
DP39365,California,MA,Master,87987970%,77026,110,2/1/2000,Corporate Auto,Four-Door Car,472.029737,2/11/1997,TRUE
SJ95423,Arizona,MA,High School or Below,88190189%,99845,110,1/1/2000,Corporate Auto,SUV,528,4/8/1997,FALSE
IL66569,California,MA,College,53844317%,83689,70,2/1/2000,Corporate Auto,Four-Door Car,307.139132,8/30/1996,TRUE
BW63560,Oregon,MA,Bachelor,74631394%,24599,64,1/1/2000,Corporate Auto,Four-Door Car,42.920271,12/9/1995,FALSE
FV94802,Nevada,MA,High School or Below,25668678%,25049,67,12/30/1899,Personal Auto,Two-Door Car,454.245098,1/24/1997,TRUE
OE15005,Cali,MA,College,39452416%,28855,101,12/30/1899,Personal Auto,SUV,647.442031,8/5/1997,FALSE
WC83389,Oregon,MA,College,57103331%,51148,72,12/30/1899,Personal Auto,Four-Door Car,308.981664,8/31/1996,TRUE
FL50705,California,MA,High School or Below,81626171%,66140,101,12/30/1899,Corporate Auto,Four-Door Car,484.8,2/23/1997,FALSE
ZK25313,Oregon,MA,High School or Below,28720513%,57749,74,12/30/1899,Personal Auto,Two-Door Car,355.2,10/17/1996,TRUE
QK46697,Washington,M,Bachelors,61771093%,61040,79,1/1/2000,Personal Auto,Two-Door Car,20.382876,11/17/1995,FALSE
YH23384,Arizona,MA,Bachelor,241275040%,14072,71,12/30/1899,Personal Auto,Four-Door Car,511.2,3/22/1997,TRUE
TZ98966,Nevada,MA,Bachelor,24501910%,0,73,3/1/2000,Corporate Auto,Four-Door Car,554.376763,5/4/1997,FALSE
HM55802,California,MA,Bachelor,23921079%,17870,61,12/30/1899,Corporate Auto,Four-Door Car,439.2,1/9/1997,TRUE
FS42516,Oregon,MA,College,58020660%,97541,72,12/30/1899,Personal Auto,Four-Door Car,389.185006,11/20/1996,FALSE
US89481,California,MA,Bachelor,39463721%,0,111,12/30/1899,Personal Auto,Four-Door Car,799.2,1/4/1998,TRUE
HS14476,Washington,M,College,91620632%,29723,80,12/30/1899,Personal Auto,Four-Door Car,20.985105,11/17/1995,FALSE
GE62437,AZ,MA,College,129025601%,86584,111,2/1/2000,Personal Auto,Four-Door Car,532.8,4/12/1997,TRUE
EJ77678,Oregon,MA,Master,32353605%,75690,80,1/1/2000,Personal Auto,Four-Door Car,384,11/15/1996,FALSE
SV85652,Arizona,MA,College,24545835%,23158,63,1/1/2000,Personal Auto,Four-Door Car,322.294043,9/14/1996,TRUE
UL64533,Nevada,MA,High School or Below,189754561%,65999,237,12/30/1899,Corporate Auto,Luxury SUV,615.927769,7/4/1997,FALSE
PF41800,California,MA,Bachelor,47153213%,0,65,12/30/1899,Personal Auto,Four-Door Car,308.15089,8/31/1996,TRUE
HD95276,Washington,F,College,47378717%,0,130,12/30/1899,Personal Auto,SUV,23.820158,11/20/1995,FALSE
SK67821,Oregon,MA,Bachelor,49329163%,37260,62,12/30/1899,Corporate Auto,Four-Door Car,15.437681,11/12/1995,TRUE
YV55495,Arizona,MA,High School or Below,57442297%,68987,71,12/30/1899,Personal Auto,Four-Door Car,204.475147,5/19/1996,FALSE
KY38074,California,MA,Bachelor,138917357%,42305,117,12/30/1899,Personal Auto,Four-Door Car,561.6,5/11/1997,TRUE
DM79012,Oregon,MA,Master,73809767%,65706,91,12/30/1899,Personal Auto,Four-Door Car,436.8,1/6/1997,FALSE
CM61827,Oregon,MA,Bachelor,30900341%,0,90,12/30/1899,Personal Auto,Two-Door Car,648,8/6/1997,TRUE
WC35801,Arizona,MA,High School or Below,25216331%,53243,66,2/1/2000,Personal Auto,Four-Door Car,157.397849,4/2/1996,FALSE
QG25316,Nevada,MA,High School or Below,26520618%,0,70,1/1/2000,Corporate Auto,Two-Door Car,484.318536,2/23/1997,TRUE
MB98372,Oregon,MA,College,27710450%,50071,71,12/30/1899,Corporate Auto,Two-Door Car,18.918935,11/15/1995,FALSE
IL19217,California,MA,Bachelor,39390064%,60021,99,12/30/1899,Personal Auto,Four-Door Car,882.871945,3/28/1998,TRUE
SR38658,Arizona,MA,High School or Below,122318797%,43244,103,12/30/1899,Personal Auto,Sports Car,494.4,3/5/1997,FALSE
YD87931,Washington,M,Doctor,49516561%,46896,35354,1/1/2000,Personal Auto,Four-Door Car,31.707317,11/28/1995,TRUE
HG65722,Oregon,MA,Doctor,128191029%,10105,172,3/1/2000,Personal Auto,SUV,0.517753,10/28/1995,FALSE
